id,cod_municipio,cod_vereda,departamento,municipio,vereda,vigencia,fuente,descripcion,seudonimos,area_ha,cod_dpto,observaciones
19717,5002,5002006,ANTIOQUIA,ABEJORRAL,CAÑAVERAL,2007,POT ABEJORRAL,NULL,1,"737,021009905",5,
19701,5002,5002007,ANTIOQUIA,ABEJORRAL,CARRIZALES,2007,POT ABEJORRAL,NULL,1,"875,901898917",5,
19706,5002,5002008,ANTIOQUIA,ABEJORRAL,CHAGUAL,2007,POT ABEJORRAL,NULL,1,"967,304180358",5,
19728,5002,5002009,ANTIOQUIA,ABEJORRAL,COMBIA,2007,POT ABEJORRAL,NULL,1,"341,058981181",5,
19682,5002,5002010,ANTIOQUIA,ABEJORRAL,CORINTO,2007,POT ABEJORRAL,NULL,1,"675,302142503",5,
19733,5002,5002011,ANTIOQUIA,ABEJORRAL,EL BUEY,2007,POT ABEJORRAL,NULL,1,"756,2929375",5,
19737,5002,5002012,ANTIOQUIA,ABEJORRAL,EL BUEY COLMENAS,2007,POT ABEJORRAL,NULL,1,"1092,66026057",5,
19692,5002,5002013,ANTIOQUIA,ABEJORRAL,EL CARMELO,2007,POT ABEJORRAL,NULL,1,"308,391547228",5,
19740,5002,5002014,ANTIOQUIA,ABEJORRAL,EL CARRIZAL,2007,POT ABEJORRAL,NULL,1,"52,1250785061",5,
19725,5002,5002015,ANTIOQUIA,ABEJORRAL,EL CHAGUALO,2007,POT ABEJORRAL,NULL,1,"939,910349274",5,
19687,5002,5002017,ANTIOQUIA,ABEJORRAL,EL GRANADILLO,2007,POT ABEJORRAL,NULL,1,"588,86261602",5,
19736,5002,5002019,ANTIOQUIA,ABEJORRAL,EL MORRON,2007,POT ABEJORRAL,NULL,1,"422,192762576",5,
19684,5002,5002020,ANTIOQUIA,ABEJORRAL,EL VERSUBIO,2007,POT ABEJORRAL,NULL,1,"1271,74321217",5,
19686,5002,5002021,ANTIOQUIA,ABEJORRAL,EL VOLCAN,2007,POT ABEJORRAL,NULL,1,"401,312735886",5,
19729,5002,5002023,ANTIOQUIA,ABEJORRAL,GUAYAQUIL,2007,POT ABEJORRAL,NULL,1,"835,382750882",5,
19697,5002,5002024,ANTIOQUIA,ABEJORRAL,LA BETULIA,2007,POT ABEJORRAL,NULL,1,"427,632354649",5,
19731,5002,5002025,ANTIOQUIA,ABEJORRAL,LA CASCADA,2007,POT ABEJORRAL,NULL,1,"846,380792137",5,
19693,5002,5002026,ANTIOQUIA,ABEJORRAL,LA CIRCITA,2007,POT ABEJORRAL,NULL,1,"552,926308829",5,
19716,5002,5002027,ANTIOQUIA,ABEJORRAL,LA CORDILLERA,2007,POT ABEJORRAL,NULL,1,"1073,87464627",5,
19698,5002,5002028,ANTIOQUIA,ABEJORRAL,LA ESPERANZA,2007,POT ABEJORRAL,NULL,1,"501,128552765",5,
19700,5002,5002029,ANTIOQUIA,ABEJORRAL,LA FLORIDA,2007,POT ABEJORRAL,NULL,1,"254,825854755",5,
19718,5002,5002030,ANTIOQUIA,ABEJORRAL,LA LABOR,2007,POT ABEJORRAL,NULL,1,"2136,64046331",5,
19726,5002,5002031,ANTIOQUIA,ABEJORRAL,LA LOMA,2007,POT ABEJORRAL,NULL,1,"482,107482924",5,
19688,5002,5002032,ANTIOQUIA,ABEJORRAL,LA NUBIA,2007,POT ABEJORRAL,NULL,1,"214,386205493",5,
19721,5002,5002033,ANTIOQUIA,ABEJORRAL,LA PEÑA,2007,POT ABEJORRAL,NULL,1,"557,718177263",5,
19685,5002,5002034,ANTIOQUIA,ABEJORRAL,LA PERDIDA,2007,POT ABEJORRAL,NULL,1,"617,661129744",5,
19695,5002,5002035,ANTIOQUIA,ABEJORRAL,LA POLKA,2007,POT ABEJORRAL,NULL,1,"484,574393437",5,
19704,5002,5002036,ANTIOQUIA,ABEJORRAL,LA PRIMAVERA,2007,POT ABEJORRAL,NULL,1,"328,972804152",5,
19739,5002,5002037,ANTIOQUIA,ABEJORRAL,LA SALTADERA,2007,POT ABEJORRAL,NULL,1,"552,239841431",5,
19694,5002,5002038,ANTIOQUIA,ABEJORRAL,LA SAMARIA,2007,POT ABEJORRAL,NULL,1,"294,054300202",5,
19723,5002,5002039,ANTIOQUIA,ABEJORRAL,LA VICTORIA,2007,POT ABEJORRAL,NULL,1,"1577,62154559",5,
19696,5002,5002040,ANTIOQUIA,ABEJORRAL,LLANADAS,2007,POT ABEJORRAL,NULL,1,"1880,68529143",5,
19689,5002,5002041,ANTIOQUIA,ABEJORRAL,LLANO GRANDE,2007,POT ABEJORRAL,NULL,1,"824,40325876",5,
19720,5002,5002042,ANTIOQUIA,ABEJORRAL,LOMA PARTE BAJA,2007,POT ABEJORRAL,NULL,1,"529,63970721",5,
19722,5002,5002043,ANTIOQUIA,ABEJORRAL,LOS RASTROJOS,2007,POT ABEJORRAL,NULL,1,"343,475574545",5,
19681,5002,5002044,ANTIOQUIA,ABEJORRAL,MATA DE GUADUA,2007,POT ABEJORRAL,NULL,1,"120,635435546",5,
19690,5002,5002045,ANTIOQUIA,ABEJORRAL,MONTEL ORO - EL REPOSO,2007,POT ABEJORRAL,CON CENTRO POBLADO,1,"786,33933009",5,
19712,5002,5002046,ANTIOQUIA,ABEJORRAL,MORRO GORDO,2007,POT ABEJORRAL,NULL,1,"841,54406756",5,
19703,5002,5002048,ANTIOQUIA,ABEJORRAL,PANTANO NEGRO,2007,POT ABEJORRAL,NULL,1,"559,932687778",5,
19711,5002,5002049,ANTIOQUIA,ABEJORRAL,PIEDRA CANELA,2007,POT ABEJORRAL,NULL,1,"2102,80923631",5,
19683,5002,5002051,ANTIOQUIA,ABEJORRAL,PURINA,2007,POT ABEJORRAL,NULL,1,"1336,23713053",5,
19730,5002,5002055,ANTIOQUIA,ABEJORRAL,SAN BARTOLO,2007,POT ABEJORRAL,NULL,1,"1438,59196782",5,
19691,5002,5002056,ANTIOQUIA,ABEJORRAL,SAN BERNARDO,2007,POT ABEJORRAL,NULL,1,"750,823641726",5,
19715,5002,5002057,ANTIOQUIA,ABEJORRAL,SAN JOSE,2007,POT ABEJORRAL,NULL,1,"162,435422208",5,
19732,5002,5002058,ANTIOQUIA,ABEJORRAL,SAN LUIS,2007,POT ABEJORRAL,NULL,1,"469,272414084",5,
19738,5002,5002059,ANTIOQUIA,ABEJORRAL,SAN PEDRO,2007,POT ABEJORRAL,NULL,1,"512,172388819",5,
