departamento_codigo,departamento_nombre,municipio_codigo,municipio_nombre,centro_poblado_codigo,centro_poblado_nombre,tipo
5,ANTIOQUIA,5001,MEDELLÍN,5001000,MEDELLÍN,CM
5,ANTIOQUIA,5001,MEDELLÍN,5001001,PALMITAS,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001004,SANTA ELENA,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001009,ALTAVISTA,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001010,AGUAS FRÍAS,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001012,LA LOMA,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001013,SAN JOSÉ DEL MANZANILLO,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001014,BARRO BLANCO,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001015,EL CERRO,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001017,EL PATIO,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001018,EL PLACER,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001019,EL PLAN,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001022,LA ALDEA,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001023,LA CUCHILLA,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001025,LA PALMA,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001027,LAS PLAYAS,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001029,PIEDRA GORDA,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001031,POTRERITO,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001032,TRAVESÍAS,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001033,URQUITA,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001035,BOQUERÓN,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001039,EL LLANO 1,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001040,EL LLANO,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001048,LA VERDE,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001052,MATASANO,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001054,MATASANO 2,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001055,MAZO,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001057,MEDIA LUNA,CP
5,ANTIOQUIA,5001,MEDELLÍN,5001066,LAS CAMELIAS,CP
5,ANTIOQUIA,5002,ABEJORRAL,5002000,ABEJORRAL,CM
5,ANTIOQUIA,5002,ABEJORRAL,5002002,PANTANILLO,CP
5,ANTIOQUIA,5002,ABEJORRAL,5002004,NARANJAL - LAS FONDAS,CP
5,ANTIOQUIA,5002,ABEJORRAL,5002016,LAS CANOAS,CP
5,ANTIOQUIA,5004,ABRIAQUÍ,5004000,ABRIAQUÍ,CM
5,ANTIOQUIA,5004,ABRIAQUÍ,5004003,POTREROS SECTOR 1,CP
5,ANTIOQUIA,5021,ALEJANDRÍA,5021000,ALEJANDRÍA,CM
5,ANTIOQUIA,5030,AMAGÁ,5030000,AMAGÁ,CM
5,ANTIOQUIA,5030,AMAGÁ,5030001,CAMILO C,CP
5,ANTIOQUIA,5030,AMAGÁ,5030003,LA CLARITA,CP
5,ANTIOQUIA,5030,AMAGÁ,5030004,LA FERREIRA,CP
5,ANTIOQUIA,5030,AMAGÁ,5030005,LA GUALÍ,CP
5,ANTIOQUIA,5030,AMAGÁ,5030006,PIEDECUESTA,CP
5,ANTIOQUIA,5030,AMAGÁ,5030011,MINAS,CP
5,ANTIOQUIA,5030,AMAGÁ,5030012,CAMILO C - ALTO DE LA VIRGEN,CP
5,ANTIOQUIA,5030,AMAGÁ,5030013,PIEDECUESTA - MANI DE LAS CASAS,CP
5,ANTIOQUIA,5031,AMALFI,5031000,AMALFI,CM
5,ANTIOQUIA,5031,AMALFI,5031004,PORTACHUELO,CP
5,ANTIOQUIA,5034,ANDES,5034000,ANDES,CM
5,ANTIOQUIA,5034,ANDES,5034001,BUENOS AIRES,CP
5,ANTIOQUIA,5034,ANDES,5034003,SAN JOSÉ,CP
5,ANTIOQUIA,5034,ANDES,5034006,SANTA RITA,CP
5,ANTIOQUIA,5034,ANDES,5034007,TAPARTÓ,CP
5,ANTIOQUIA,5034,ANDES,5034012,SANTA INÉS,CP
5,ANTIOQUIA,5034,ANDES,5034014,SAN BARTOLO,CP
5,ANTIOQUIA,5034,ANDES,5034015,LA CHAPARRALA - LA UNIÓN,CP
5,ANTIOQUIA,5036,ANGELÓPOLIS,5036000,ANGELÓPOLIS,CM
5,ANTIOQUIA,5036,ANGELÓPOLIS,5036001,LA ESTACIÓN,CP
5,ANTIOQUIA,5036,ANGELÓPOLIS,5036006,SANTA RITA,CP
5,ANTIOQUIA,5036,ANGELÓPOLIS,5036011,CIENAGUITA,CP
5,ANTIOQUIA,5038,ANGOSTURA,5038000,ANGOSTURA,CM
5,ANTIOQUIA,5038,ANGOSTURA,5038008,LLANOS DE CUIBA,CP
5,ANTIOQUIA,5040,ANORÍ,5040000,ANORÍ,CM
5,ANTIOQUIA,5040,ANORÍ,5040002,LIBERIA,CP
5,ANTIOQUIA,5040,ANORÍ,5040003,MONTEFRÍO,CP
5,ANTIOQUIA,5042,SANTA FÉ DE ANTIOQUIA,5042000,SANTA FÉ DE ANTIOQUIA,CM
5,ANTIOQUIA,5042,SANTA FÉ DE ANTIOQUIA,5042002,LAURELES,CP
5,ANTIOQUIA,5042,SANTA FÉ DE ANTIOQUIA,5042006,EL PESCADO,CP
5,ANTIOQUIA,5042,SANTA FÉ DE ANTIOQUIA,5042007,SABANAS,CP
5,ANTIOQUIA,5042,SANTA FÉ DE ANTIOQUIA,5042008,KILOMETRO 2,CP
5,ANTIOQUIA,5042,SANTA FÉ DE ANTIOQUIA,5042009,PASO REAL,CP
5,ANTIOQUIA,5044,ANZÁ,5044000,ANZÁ,CM
5,ANTIOQUIA,5044,ANZÁ,5044001,GUINTAR,CP
5,ANTIOQUIA,5044,ANZÁ,5044005,LA CEJITA,CP
5,ANTIOQUIA,5044,ANZÁ,5044006,LA HIGUINA,CP
5,ANTIOQUIA,5045,APARTADÓ,5045000,APARTADÓ,CM
5,ANTIOQUIA,5045,APARTADÓ,5045001,SAN JOSÉ DE APARTADÓ,CP
5,ANTIOQUIA,5045,APARTADÓ,5045002,CHURIDÓ,CP
5,ANTIOQUIA,5045,APARTADÓ,5045003,ZUNGO CARRETERA,CP
5,ANTIOQUIA,5045,APARTADÓ,5045007,LOS NARANJALES,CP
5,ANTIOQUIA,5045,APARTADÓ,5045008,VIJAGUAL,CP
5,ANTIOQUIA,5045,APARTADÓ,5045009,EL REPOSO,CP
5,ANTIOQUIA,5045,APARTADÓ,5045010,BAJO DEL OSO,CP
5,ANTIOQUIA,5045,APARTADÓ,5045011,EL SALVADOR,CP
5,ANTIOQUIA,5045,APARTADÓ,5045014,PUERTO GIRÓN,CP
5,ANTIOQUIA,5045,APARTADÓ,5045015,LOMA VERDE,CP
5,ANTIOQUIA,5045,APARTADÓ,5045016,SAN PABLO,CP
5,ANTIOQUIA,5051,ARBOLETES,5051000,ARBOLETES,CM
5,ANTIOQUIA,5051,ARBOLETES,5051001,BUENOS AIRES,CP
5,ANTIOQUIA,5051,ARBOLETES,5051003,EL CARMELO,CP
5,ANTIOQUIA,5051,ARBOLETES,5051005,LAS NARANJITAS,CP
5,ANTIOQUIA,5051,ARBOLETES,5051008,EL YESO,CP
5,ANTIOQUIA,5051,ARBOLETES,5051009,LA TRINIDAD,CP
5,ANTIOQUIA,5051,ARBOLETES,5051010,LAS PLATAS (SANTAFÉ),CP
5,ANTIOQUIA,5051,ARBOLETES,5051011,LA CANDELARIA,CP
5,ANTIOQUIA,5051,ARBOLETES,5051014,EL GUADUAL,CP
5,ANTIOQUIA,5055,ARGELIA,5055000,ARGELIA,CM
